date,open,high,low,close,volume
2022-02-08,100.118384,102.007238,98.558297,100.442107,620956
2022-02-09,100.742686,101.146678,98.748550,99.146140,1022310
2022-02-10,99.368097,100.707871,98.844359,100.179853,1120248
2022-02-11,100.335023,102.786406,99.046604,101.483243,913212
2022-02-14,101.927114,102.858778,98.113955,99.019038,1430039
2022-02-15,99.239237,100.950925,95.760416,97.441090,1313353
2022-02-16,97.693467,98.744724,96.644308,97.695542,921720
2022-02-17,97.913322,98.330617,96.979642,97.394726,388463
2022-02-18,97.510896,98.186446,96.806053,97.481399,649831
2022-02-21,96.872857,96.969856,96.424280,96.520926,1361070
2022-02-22,96.549176,98.835978,95.481004,97.754471,1001302
2022-02-23,97.564175,99.992885,96.466923,98.880826,733011
2022-02-24,98.437895,100.127612,97.423773,99.106601,1103852
2022-02-25,99.689978,102.363730,98.063484,100.720424,1162897
2022-02-28,101.329932,103.198490,99.628189,101.493992,1184974
2022-03-01,101.976826,103.131045,99.394114,100.531980,1080231
2022-03-02,100.621780,101.539142,100.273505,101.188904,1053209
2022-03-03,101.667243,103.138280,98.665886,100.114455,1117001
2022-03-04,100.118679,102.895626,98.694847,101.452821,1223954
2022-03-07,101.524831,102.927352,100.180890,101.582645,1261756
2022-03-08,101.193873,103.158236,99.582267,101.541101,1022937
2022-03-09,101.682189,102.428606,100.113300,100.853635,711984
2022-03-10,100.874950,104.744269,98.853918,102.686934,1272367
2022-03-11,102.218755,103.543068,101.384416,102.704762,1047390
2022-03-14,102.686358,104.226334,100.828520,102.363656,1118435
2022-03-15,102.335091,102.872413,101.594368,102.130616,821308
2022-03-16,102.773167,103.935547,101.922314,103.082136,1226378
2022-03-17,103.404757,105.698167,101.536701,103.822563,1145355
2022-03-18,103.826722,105.784373,102.689155,104.637918,1437764
2022-03-21,104.729032,107.109880,103.120426,105.489593,878390
2022-03-22,105.505916,110.152998,104.139845,108.744987,1348228
2022-03-23,108.667756,109.926147,107.197205,108.453111,849645
2022-03-24,108.042236,109.928157,106.132304,108.017798,844007
2022-03-25,107.960691,109.154020,105.982967,107.167529,850672
2022-03-28,106.887678,108.850913,106.366381,108.322619,586512
2022-03-29,107.848588,111.195104,106.900918,110.226539,1111172
2022-03-30,110.423764,111.992308,108.801855,110.369630,937739
2022-03-31,110.520773,112.021870,107.990738,109.477668,922199
2022-04-01,108.793052,109.416628,107.995338,108.617910,1330635
2022-04-04,108.571270,110.853908,107.582986,109.853948,1069878
2022-04-05,110.236784,112.316352,109.170451,111.240311,1310650
2022-04-06,111.652711,113.537590,110.476101,112.353594,1085945
2022-04-07,112.756992,113.489500,110.984954,111.710665,1100851
2022-04-08,111.725880,113.442696,110.665991,112.376634,1011776
2022-04-11,112.044262,113.903707,111.026277,112.878146,1168325
2022-04-12,112.450006,115.245966,110.753570,113.533189,970785
2022-04-13,113.670124,116.920406,111.938191,115.165685,1208891
2022-04-14,115.318566,117.164696,114.002001,115.842154,1024905
2022-04-15,116.364100,118.437014,115.150208,117.214254,1027433
2022-04-18,117.665520,119.143364,116.185521,117.663337,992385
2022-04-19,117.608882,119.488586,116.581721,118.454044,1358646
2022-04-20,117.938210,120.668491,117.063973,119.780597,1018199
2022-04-21,119.646817,120.632601,116.905209,117.876407,1229483
2022-04-22,117.966029,119.082076,116.615070,117.728873,1087907
2022-04-25,117.645605,118.509842,116.487296,117.349357,1105936
2022-04-26,117.112003,118.593263,115.236560,116.712771,956597
2022-04-27,116.816073,118.558836,114.887231,116.627176,458933
2022-04-28,116.421462,119.925421,115.763494,119.251459,1365764
2022-04-29,118.989316,120.429148,116.815298,118.246137,635497
2022-05-02,118.375036,121.410099,117.058675,120.074836,1395020
2022-05-03,119.905894,121.508560,116.222650,117.797131,1247104
2022-05-04,117.897773,119.306444,116.196249,117.601380,1051928
2022-05-05,117.713832,118.894352,116.985701,118.163440,788333
2022-05-06,117.692204,120.208487,116.874191,119.378752,782852
2022-05-09,119.177677,122.261308,117.733518,120.797520,1121531
2022-05-10,121.405400,124.329981,119.448937,122.358164,1091148
2022-05-11,121.860499,122.490442,121.477461,122.106630,806012
2022-05-12,121.202029,123.297972,119.579994,121.669678,933332
2022-05-13,120.876823,125.393494,118.851110,123.326725,1580605
2022-05-16,123.339290,124.743865,121.901868,123.306064,995091
2022-05-17,123.319407,125.070643,119.826660,121.552809,1303814
2022-05-18,121.502773,122.619107,118.936618,120.039508,1234390
2022-05-19,120.549636,121.938673,117.498224,118.867884,1290129
